gate,parameter,threshold_class,freeze_readiness,primary_anchor,remaining_requirement
Qg,method_min_paired_plants,design_floor,POWER_PRECISION_REQUIRED,"2015 water experiment used 40-60 individuals/population but different design","Prospective paired-plant method-gate precision target"
Qg,method_min_flowers_per_treatment,design_floor,POWER_PRECISION_REQUIRED,"2015 study counted >=6 capsules/individual; different design","Prospective V3 method-gate precision target"
Qg,min_hours_after_anthesis_before_barrier,natural_history_timing,CALIBRATION_REQUIRED,"Predators oviposit after flowers open","Focal pollination-window timing calibration"
Qg,max_hours_after_anthesis_before_barrier,natural_history_timing,CALIBRATION_REQUIRED,"Predator oviposition occurs before ovary swelling","Focal pre-swelling/attack-window calibration"
Qg,predator_min_paired_plants,design_floor,POWER_PRECISION_REQUIRED,"Historical plant counts provide feasibility scale only","Prospective effect/selectivity precision or power"
Qg,predator_min_flowers_per_treatment,design_floor,POWER_PRECISION_REQUIRED,"Historical capsule replication provides feasibility scale only","Prospective effect/selectivity precision target"
Qg,min_early_attack_reduction,target_effect,BIOLOGICAL_RELEVANCE_PLUS_CALIBRATION,"Independent exclusion device is new","Define useful attack suppression plus calibration variance"
Qg,min_predation_fraction_reduction,target_effect,BIOLOGICAL_RELEVANCE_PLUS_CALIBRATION,"Water drainage changed predation strongly but intervention differs","Define minimum useful effect for independent device plus context calibration"
Qg,min_final_seed_set_gain,target_effect,BIOLOGICAL_RELEVANCE_PLUS_CALIBRATION,"Water treatment improved final seed set but intervention differs","Define minimum useful gain for independent device plus calibration"
Qg,max_initial_seed_set_difference,equivalence_tolerance,CALIBRATION_REQUIRED,"Water treatment had no detected initial-seed-set effect; not equivalence evidence","Prospective equivalence margin"
Qg,max_pollen_grain_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"No direct source equivalence bound recovered","Pollen measurement repeatability plus negligible-change margin"
Qg,max_pollinator_visit_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Water treatment beta=0.012 P=0.958; not equivalence evidence","Visit-rate repeatability plus prospective equivalence margin"
Qg,max_z_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"z defined but no barrier-specific bound","Barrier-sham z repeatability"
Qg,max_water_depth_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Water-y must remain fixed","Barrier effect on water-depth calibration"
Qg,max_damage_rate_difference,equivalence_tolerance,CALIBRATION_REQUIRED,"No barrier-specific damage bound recovered","Barrier/sham handling calibration"
